Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,British Grand Prix,vettel,88.062,100.1508333,87.493,87.103,87.179,10,8,19
2021,British Grand Prix,latifi,89.227,102.6121224,88.254,,,18,17,14
2021,British Grand Prix,raikkonen,89.22,101.2343261,88.062,,,17,13,15
2021,British Grand Prix,mazepin,89.808,101.4867442,89.051,,,20,19,17
2021,British Grand Prix,gasly,88.449,101.2227925,87.6,87.273,,12,11,11
2021,British Grand Prix,perez,88.163,98.34062222,87.121,87.073,86.844,5,0,16
2021,British Grand Prix,alonso,88.873,99.22297826,87.58,87.245,,11,7,7
2021,British Grand Prix,leclerc,87.828,99.99873913,87.051,86.919,86.828,4,4,2
2021,British Grand Prix,stroll,89.597,101.5690455,88.017,87.665,,15,14,8
2021,British Grand Prix,tsunoda,88.6,100.2943636,88.043,,,16,16,10
2021,British Grand Prix,ocon,88.415,98.92022917,87.415,87.34,,13,9,9
2021,British Grand Prix,max_verstappen,87.035,97.08,86.751,86.315,86.209,2,1,20
2021,British Grand Prix,hamilton,87.815,99.95692308,86.786,86.023,86.134,1,2,1
2021,British Grand Prix,mick_schumacher,89.227,103.9484,88.738,,,19,18,18
2021,British Grand Prix,sainz,87.923,102.2717609,87.337,86.848,87.007,9,10,6
2021,British Grand Prix,russell,89.665,102.8613778,87.671,87.08,86.971,8,12,12
2021,British Grand Prix,bottas,87.897,97.83356,87.487,86.764,86.328,3,3,3
2021,British Grand Prix,giovinazzi,88.827,100.3735,87.595,87.617,,14,15,13
2021,Hungarian Grand Prix,ricciardo,77.942,95.00160714,77.664,76.871,,11,11,11
2021,Hungarian Grand Prix,norris,77.772,94.03332075,77.081,76.385,76.489,6,6,15
2021,Hungarian Grand Prix,vettel,78.228,91.15407018,77.105,76.794,76.75,10,10,20
2021,Hungarian Grand Prix,latifi,78.821,97.14659322,78.036,,,18,18,7
2021,Hungarian Grand Prix,mazepin,79.933,95.12065455,78.922,,,19,19,14
2021,Hungarian Grand Prix,gasly,78.113,97.69309231,76.874,76.394,76.483,5,5,5
2021,Hungarian Grand Prix,perez,77.824,97.05928261,77.233,76.443,76.421,4,4,17
2021,Hungarian Grand Prix,alonso,77.992,93.83398305,77.123,76.541,76.715,9,9,4
2021,Hungarian Grand Prix,leclerc,77.52,96.82856897,77.084,76.574,76.496,7,7,18
2021,Hungarian Grand Prix,stroll,78.05,92.09586667,77.038,76.893,,12,12,19
2021,Hungarian Grand Prix,tsunoda,78.461,98.41133333,77.919,,,16,16,6
2021,Hungarian Grand Prix,ocon,77.759,99.33020968,77.367,76.766,76.653,8,8,1
2021,Hungarian Grand Prix,max_verstappen,76.914,95.71512245,76.214,75.65,75.84,3,3,9
2021,Hungarian Grand Prix,hamilton,76.826,95.5022069,76.424,76.553,75.419,1,1,2
2021,Hungarian Grand Prix,mick_schumacher,79.406,94.79579661,,,,20,20,12
2021,Hungarian Grand Prix,sainz,77.497,97.24455738,76.649,,,15,15,3
2021,Hungarian Grand Prix,russell,78.794,96.43543636,77.944,,,17,17,8
2021,Hungarian Grand Prix,bottas,77.012,94.73760345,76.569,76.702,75.734,2,2,16
2021,Hungarian Grand Prix,,80.639,98.07385,,,,,,
2021,Hungarian Grand Prix,giovinazzi,79.113,99.988075,77.776,77.583,,14,0,13
2021,Hungarian Grand Prix,raikkonen,78.683,96.1742,77.553,77.564,,13,13,10
2021,Belgian Grand Prix,ricciardo,106.118,121.8478485,121.583,117.127,120.864,4,4,4
2021,Belgian Grand Prix,norris,105.386,120.4648286,118.301,116.025,,10,15,14
2021,Belgian Grand Prix,vettel,105.336,121.8571081,120.175,116.814,120.935,5,5,5
2021,Belgian Grand Prix,latifi,106.198,120.9098485,120.966,118.056,,12,10,9
2021,Belgian Grand Prix,raikkonen,105.967,117.3723913,124.452,,,19,0,18
2021,Belgian Grand Prix,mazepin,107.335,126.2504474,124.939,,,20,18,17
2021,Belgian Grand Prix,gasly,104.965,122.5100556,120.387,116.44,121.164,6,6,6
2021,Belgian Grand Prix,perez,105.404,123.1230345,119.334,116.886,122.112,7,0,19
2021,Belgian Grand Prix,alonso,104.953,121.9700303,121.653,118.205,,14,12,11
2021,Belgian Grand Prix,leclerc,105.818,122.6123871,120.728,117.721,,11,9,8
2021,Belgian Grand Prix,stroll,105.18,124.9269211,121.597,118.231,,15,19,20
2021,Belgian Grand Prix,tsunoda,105.758,123.522,122.413,,,17,16,15
2021,Belgian Grand Prix,ocon,105.302,122.3022759,121.824,117.354,123.513,9,8,7
2021,Belgian Grand Prix,max_verstappen,104.472,118.8494348,118.717,116.559,119.765,1,1,1
2021,Belgian Grand Prix,hamilton,104.544,117.6039615,119.218,116.229,120.099,3,3,3
2021,Belgian Grand Prix,mick_schumacher,107.529,124.7196111,123.973,,,18,17,16
2021,Belgian Grand Prix,sainz,105.517,121.7066333,121.184,118.137,,13,11,10
2021,Belgian Grand Prix,russell,106.665,120.3915,119.864,116.95,120.086,2,2,2
2021,Belgian Grand Prix,bottas,104.513,120.6263,119.87,116.295,122.502,8,13,12
2021,Belgian Grand Prix,giovinazzi,105.789,122.5636471,122.306,,,16,14,13
2021,Dutch Grand Prix,ricciardo,71.013,88.82929787,70.255,69.865,70.166,10,10,11
2021,Dutch Grand Prix,norris,70.781,88.4258,70.489,70.406,,13,13,10
2021,Dutch Grand Prix,vettel,70.872,87.77489744,70.731,,,17,15,13
2021,Dutch Grand Prix,latifi,71.083,89.94434,70.093,71.161,,14,0,16
2021,Dutch Grand Prix,,72.206,86.05769048,,,,,,
2021,Dutch Grand Prix,mazepin,72.136,90.53368421,71.875,,,20,18,20
2021,Dutch Grand Prix,gasly,71.005,88.01718519,70.274,69.541,69.478,4,4,4
2021,Dutch Grand Prix,perez,70.526,90.33103774,70.53,,,16,0,8
2021,Dutch Grand Prix,alonso,70.67,86.36303922,70.435,70.02,69.956,9,9,6
2021,Dutch Grand Prix,leclerc,70.896,88.06184906,69.829,69.437,69.527,5,5,5
2021,Dutch Grand Prix,stroll,70.842,85.6434717,70.438,70.367,,12,12,12
2021,Dutch Grand Prix,tsunoda,71.98,88.90107692,70.462,71.314,,15,14,19
2021,Dutch Grand Prix,ocon,71.074,88.01177049,70.179,69.919,69.933,8,8,9
2021,Dutch Grand Prix,max_verstappen,69.623,87.50008696,70.036,69.071,68.885,1,1,1
2021,Dutch Grand Prix,hamilton,70.417,89.57224242,70.114,69.726,68.923,2,2,2
2021,Dutch Grand Prix,mick_schumacher,72.366,88.33684211,71.387,,,19,17,18
2021,Dutch Grand Prix,sainz,71.056,88.37978571,70.022,69.87,69.537,6,6,7
2021,Dutch Grand Prix,russell,71.274,88.5621,70.382,70.332,,11,11,17
2021,Dutch Grand Prix,bottas,70.179,89.34598246,70.219,69.769,69.222,3,3,3
2021,Dutch Grand Prix,giovinazzi,71.299,88.49282143,70.05,70.033,69.59,7,7,14
2021,Dutch Grand Prix,kubica,72.162,86.77973913,71.301,,,18,16,15
2021,Italian Grand Prix,ricciardo,81.474,94.57646667,81.292,80.435,79.995,5,2,1
2021,Italian Grand Prix,norris,81.202,94.3834898,80.916,80.059,79.989,4,3,2
2021,Italian Grand Prix,vettel,81.824,95.7718,81.394,80.913,,11,11,12
2021,Italian Grand Prix,latifi,83.442,94.38667391,81.925,,,16,13,11
2021,Italian Grand Prix,mazepin,83.445,93.38092105,82.716,,,20,16,16
2021,Italian Grand Prix,gasly,81.719,94.75231915,81.44,80.556,80.26,6,0,19
2021,Italian Grand Prix,perez,82.039,91.04221739,81.308,80.882,80.611,9,8,5
2021,Italian Grand Prix,alonso,81.926,90.48747059,81.487,81.069,,13,10,8
2021,Italian Grand Prix,leclerc,81.802,93.79620513,81.219,80.767,80.51,8,5,4
2021,Italian Grand Prix,stroll,81.676,93.80280952,81.415,81.02,,12,9,7
2021,Italian Grand Prix,tsunoda,82.53,93.31024561,81.973,,,17,0,20
2021,Italian Grand Prix,ocon,82.534,92.69768293,81.5,81.103,,14,12,10
2021,Italian Grand Prix,max_verstappen,81.378,90.27184211,81.035,80.229,79.966,3,1,18
