Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,British Grand Prix,raikkonen,89.22,101.23432608695651,88.062,,,17.0,13.0,15.0
2021,British Grand Prix,mazepin,89.808,101.48674418604652,89.051,,,20.0,19.0,17.0
2021,British Grand Prix,gasly,88.449,101.2227924528302,87.6,87.273,,12.0,11.0,11.0
2021,British Grand Prix,perez,88.163,98.34062222222224,87.121,87.073,86.844,5.0,20.0,16.0
2021,British Grand Prix,alonso,88.873,99.22297826086955,87.58,87.245,,11.0,7.0,7.0
2021,British Grand Prix,leclerc,87.828,99.9987391304348,87.051,86.919,86.828,4.0,4.0,2.0
2021,British Grand Prix,stroll,89.597,101.56904545454545,88.017,87.665,,15.0,14.0,8.0
2021,British Grand Prix,tsunoda,88.6,100.29436363636364,88.043,,,16.0,16.0,10.0
2021,British Grand Prix,ocon,88.415,98.92022916666669,87.415,87.34,,13.0,9.0,9.0
2021,British Grand Prix,max_verstappen,87.035,97.08,86.751,86.315,86.209,2.0,1.0,20.0
2021,British Grand Prix,hamilton,87.815,99.95692307692308,86.786,86.023,86.134,1.0,2.0,1.0
2021,British Grand Prix,mick_schumacher,89.227,103.9484,88.738,,,19.0,18.0,18.0
2021,British Grand Prix,sainz,87.923,102.27176086956524,87.337,86.848,87.007,9.0,10.0,6.0
2021,British Grand Prix,russell,89.665,102.86137777777778,87.671,87.08,86.971,8.0,12.0,12.0
2021,British Grand Prix,bottas,87.897,97.83356,87.487,86.764,86.328,3.0,3.0,3.0
2021,British Grand Prix,giovinazzi,88.827,100.3735,87.595,87.617,,14.0,15.0,13.0
2021,Hungarian Grand Prix,ricciardo,77.942,95.00160714285714,77.664,76.871,,11.0,11.0,11.0
2021,Hungarian Grand Prix,norris,77.772,94.03332075471695,77.081,76.385,76.489,6.0,6.0,15.0
2021,Hungarian Grand Prix,vettel,78.228,91.1540701754386,77.105,76.794,76.75,10.0,10.0,20.0
2021,Hungarian Grand Prix,latifi,78.821,97.146593220339,78.036,,,18.0,18.0,7.0
2021,Hungarian Grand Prix,mazepin,79.933,95.12065454545456,78.922,,,19.0,19.0,14.0
2021,Hungarian Grand Prix,gasly,78.113,97.69309230769232,76.874,76.394,76.483,5.0,5.0,5.0
